Data;Preco
21/11/2018;R$ 4.35
22/11/2018;R$ 4.32
23/11/2018;R$ 4.28
26/11/2018;R$ 4.28
27/11/2018;R$ 4.23
28/11/2018;R$ 4.26
29/11/2018;R$ 4.23
30/11/2018;R$ 4.24
03/12/2018;R$ 4.19
04/12/2018;R$ 4.18
05/12/2018;R$ 4.19
06/12/2018;R$ 4.19
07/12/2018;R$ 4.16
10/12/2018;R$ 4.17
11/12/2018;R$ 4.15
12/12/2018;R$ 4.18
13/12/2018;R$ 4.17
14/12/2018;R$ 4.18
17/12/2018;R$ 4.15
18/12/2018;R$ 4.16
19/12/2018;R$ 4.18
20/12/2018;R$ 4.17
21/12/2018;R$ 4.13
24/12/2018;R$ 4.44
25/12/2018;R$ 4.18
26/12/2018;R$ 4.19
27/12/2018;R$ 4.14
28/12/2018;R$ 4.17
31/12/2018;R$ 3.93
01/01/2019;R$ 4.05
02/01/2019;R$ 4.15
03/01/2019;R$ 4.18
04/01/2019;R$ 4.16
07/01/2019;R$ 4.11
08/01/2019;R$ 4.13
09/01/2019;R$ 4.11
10/01/2019;R$ 4.09
11/01/2019;R$ 4.11
14/01/2019;R$ 4.06
15/01/2019;R$ 4.08
16/01/2019;R$ 4.08
17/01/2019;R$ 4.08
18/01/2019;R$ 4.05
21/01/2019;R$ 4.10
22/01/2019;R$ 4.05
23/01/2019;R$ 4.02
24/01/2019;R$ 4.03
25/01/2019;R$ 4.05
28/01/2019;R$ 4.04
29/01/2019;R$ 4.04
30/01/2019;R$ 4.05
31/01/2019;R$ 4.01
01/02/2019;R$ 4.03
04/02/2019;R$ 4.02
05/02/2019;R$ 4.03
06/02/2019;R$ 4.00
07/02/2019;R$ 3.99
08/02/2019;R$ 3.96
11/02/2019;R$ 4.01
12/02/2019;R$ 3.99
13/02/2019;R$ 4.01
14/02/2019;R$ 3.98
15/02/2019;R$ 3.98
18/02/2019;R$ 4.00
19/02/2019;R$ 3.99
20/02/2019;R$ 4.02
21/02/2019;R$ 4.00
22/02/2019;R$ 4.04
25/02/2019;R$ 4.06
26/02/2019;R$ 4.07
27/02/2019;R$ 4.07
28/02/2019;R$ 4.05
01/03/2019;R$ 4.00
04/03/2019;R$ 4.13
05/03/2019;R$ 4.07
06/03/2019;R$ 4.03
07/03/2019;R$ 4.05
08/03/2019;R$ 4.08
11/03/2019;R$ 4.08
12/03/2019;R$ 4.11
13/03/2019;R$ 4.11
14/03/2019;R$ 4.15
15/03/2019;R$ 4.04
18/03/2019;R$ 4.15
19/03/2019;R$ 4.11
20/03/2019;R$ 4.19
21/03/2019;R$ 4.11
22/03/2019;R$ 4.09
25/03/2019;R$ 4.13
26/03/2019;R$ 4.17
27/03/2019;R$ 4.13
28/03/2019;R$ 4.16
29/03/2019;R$ 4.09
01/04/2019;R$ 4.16
02/04/2019;R$ 4.14
03/04/2019;R$ 4.15
04/04/2019;R$ 4.12
05/04/2019;R$ 4.12
08/04/2019;R$ 4.19
09/04/2019;R$ 4.18
10/04/2019;R$ 4.15
11/04/2019;R$ 4.18
12/04/2019;R$ 4.17
13/04/2019;R$ 4.24
14/04/2019;R$ 4.06
15/04/2019;R$ 4.21
16/04/2019;R$ 4.21
17/04/2019;R$ 4.22
18/04/2019;R$ 4.23
19/04/2019;R$ 4.22
20/04/2019;R$ 4.13
21/04/2019;R$ 4.04
22/04/2019;R$ 4.28
23/04/2019;R$ 4.28
24/04/2019;R$ 4.29
25/04/2019;R$ 4.31
26/04/2019;R$ 4.23
27/04/2019;R$ 4.39
28/04/2019;R$ 4.17
29/04/2019;R$ 4.34
30/04/2019;R$ 4.32
01/05/2019;R$ 4.34
02/05/2019;R$ 4.29
03/05/2019;R$ 4.28
04/05/2019;R$ 4.28
05/05/2019;R$ 4.18
06/05/2019;R$ 4.33
07/05/2019;R$ 4.33
08/05/2019;R$ 4.32
09/05/2019;R$ 4.31
10/05/2019;R$ 4.28
11/05/2019;R$ 4.32
12/05/2019;R$ 4.23
13/05/2019;R$ 4.33
14/05/2019;R$ 4.30
15/05/2019;R$ 4.34
16/05/2019;R$ 4.30
17/05/2019;R$ 4.30
18/05/2019;R$ 4.34
19/05/2019;R$ 4.23
20/05/2019;R$ 4.30
21/05/2019;R$ 4.33
22/05/2019;R$ 4.31
23/05/2019;R$ 4.32
24/05/2019;R$ 4.33
27/05/2019;R$ 4.37
28/05/2019;R$ 4.31
29/05/2019;R$ 4.30
30/05/2019;R$ 4.30
